sample,slide,mpp,reader
BU_lung_svs_01,syn://syn53640639,0.5,
BU_lung_qptiff_01,syn://syn61624639,0.5,image
SRRS_lung_svs_01,syn://syn52431239,,
BU_lung_ndpi_01,syn://syn68493420,,
BU_lung_svs_02,syn://syn53640634,0.5,
BU_lung_qptiff_02,syn://syn61624744,0.5,image
SRRS_lung_svs_02,syn://syn52431260,,
BU_lung_ndpi_02,syn://syn68493407,,
BU_lung_svs_03,syn://syn64613096,0.25,
BU_lung_qptiff_03,syn://syn61625232,0.5,image
BU_lung_svs_04,syn://syn52919500,0.5,
BU_lung_ndpi_03,syn://syn68493439,,
BU_lung_svs_05,syn://syn53640654,0.5,
SRRS_lung_svs_03,syn://syn52431279,,
BU_lung_ndpi_04,syn://syn68493535,,
BU_lung_svs_06,syn://syn53640651,0.5,
BU_lung_ndpi_05,syn://syn68493422,,
BU_lung_svs_07,syn://syn53640508,0.5031,
BU_lung_ndpi_06,syn://syn68493548,,
BU_lung_svs_08,syn://syn53640660,0.5,
SRRS_lung_svs_04,syn://syn52431291,,
BU_lung_ndpi_07,syn://syn68493551,,
BU_lung_svs_09,syn://syn64613028,0.25,
BU_lung_svs_10,syn://syn53640512,0.5031,
Duke_breast_tiff_01,syn://syn27056837,0.161,image
Duke_breast_svs_01,syn://syn52289971,0.161,
HTAPP_breast_svs_01,syn://syn25882268,0.2762,
HTAPP_breast_svs_02,syn://syn25882267,0.2762,
Duke_breast_tiff_02,syn://syn27056838,0.161,image
Duke_breast_svs_02,syn://syn52289972,0.161,
HTAPP_breast_svs_03,syn://syn25882273,0.2762,
Duke_breast_tiff_03,syn://syn27056839,0.161,image
Duke_breast_svs_03,syn://syn52289973,0.161,
HTAPP_breast_svs_04,syn://syn25882275,0.2762,
Duke_breast_tiff_04,syn://syn27056840,0.161,image
Duke_breast_svs_04,syn://syn52289974,0.161,
HTAPP_breast_svs_05,syn://syn25882282,0.2762,
Duke_breast_tiff_05,syn://syn27056841,0.161,image
Duke_breast_svs_05,syn://syn52289975,0.161,
Duke_breast_tiff_06,syn://syn27056842,0.161,image
Duke_breast_svs_06,syn://syn52289976,0.161,
Duke_breast_tiff_07,syn://syn27056843,0.161,image
Duke_breast_svs_07,syn://syn52289977,0.161,
Duke_breast_tiff_08,syn://syn27056845,0.161,image
SRRS_colorectal_ometiff_01,syn://syn53129024,,
HMS_colorectal_ometiff_01,syn://syn51692280,0.325,
HMS_colorectal_ometiff_02,syn://syn51692288,0.325,
SRRS_colorectal_ometiff_02,syn://syn33577970,,
SRRS_colorectal_ometiff_03,syn://syn53129028,,
HMS_colorectal_ometiff_03,syn://syn51692281,0.325,
HMS_colorectal_ometiff_04,syn://syn51692315,0.325,
SRRS_colorectal_ometiff_04,syn://syn43195319,,
SRRS_colorectal_ometiff_05,syn://syn53129034,,
HMS_colorectal_ometiff_05,syn://syn51692282,0.325,
HMS_colorectal_ometiff_06,syn://syn51692326,0.325,
SRRS_colorectal_ometiff_06,syn://syn43196849,,
SRRS_colorectal_ometiff_07,syn://syn53129047,,
HMS_colorectal_ometiff_07,syn://syn51692283,0.325,
HMS_colorectal_ometiff_08,syn://syn51692329,0.325,
SRRS_colorectal_ometiff_08,syn://syn43196967,,
SRRS_colorectal_ometiff_09,syn://syn53129067,,
HMS_colorectal_ometiff_09,syn://syn51692284,0.325,
HMS_colorectal_ometiff_10,syn://syn51692332,0.325,
SRRS_colorectal_ometiff_10,syn://syn53129112,,
HMS_other_svs_01,syn://syn68629518,0.1369,
HMS_other_ometiff_01,syn://syn68627346,,
HMS_other_ometiff_02,syn://syn68627335,,
HMS_other_svs_02,syn://syn68629519,0.2529,
HMS_other_ometiff_03,syn://syn68627347,,
HMS_other_ometiff_04,syn://syn68627338,,
HMS_other_svs_03,syn://syn68629520,0.2529,
HMS_other_ometiff_05,syn://syn68627348,,
HMS_other_ometiff_06,syn://syn68627339,,
HMS_other_svs_04,syn://syn68629521,0.2529,
HMS_other_ometiff_07,syn://syn68627388,0.65,
HMS_other_ometiff_08,syn://syn68627341,,
HMS_other_svs_05,syn://syn68629522,0.2529,
HMS_other_ometiff_09,syn://syn68627391,0.65,
