sample,slide,mpp,reader
A_BU_normal_01,syn://syn53640552,0.5031,
A_BU_normal_02,syn://syn53640834,0.5,
A_BU_normal_03,syn://syn53640864,0.5,
A_BU_normal_04,syn://syn53640877,0.5,
A_BU_normal_05,syn://syn53640879,0.5,
A_BU_normal_06,syn://syn53640898,0.5,
A_BU_normal_07,syn://syn53640913,0.5,
A_BU_normal_08,syn://syn53640921,0.5,
A_BU_normal_09,syn://syn53640933,0.5,
A_BU_normal_10,syn://syn53640950,0.5,
A_BU_normal_11,syn://syn53640956,0.5,
A_BU_normal_12,syn://syn53640961,0.5,
A_BU_normal_13,syn://syn53640970,0.5,
A_BU_normal_14,syn://syn53641012,0.5,
A_BU_normal_15,syn://syn53641044,0.5,
A_BU_normal_16,syn://syn53641061,0.5,
A_BU_normal_17,syn://syn53641062,0.5,
A_BU_normal_18,syn://syn53641114,0.5,
A_BU_normadj_01,syn://syn53640513,0.5031,
A_BU_normadj_02,syn://syn53640534,0.5031,
A_BU_normadj_03,syn://syn53640542,0.5031,
A_BU_normadj_04,syn://syn53640545,0.5031,
A_BU_normadj_05,syn://syn53640556,0.5031,
A_BU_normadj_06,syn://syn53640558,0.5031,
A_BU_normadj_07,syn://syn53640567,0.5031,
A_BU_normadj_08,syn://syn53640576,0.5031,
A_BU_normadj_09,syn://syn53640589,0.5031,
A_BU_normadj_10,syn://syn53640596,0.5031,
A_BU_normadj_11,syn://syn53640601,0.5031,
A_BU_normadj_12,syn://syn53640605,0.5031,
A_BU_normadj_13,syn://syn53640609,0.5031,
A_BU_normadj_14,syn://syn53640618,0.5031,
A_BU_normadj_15,syn://syn53640623,0.5031,
A_BU_normadj_16,syn://syn53640632,0.5031,
A_BU_normadj_17,syn://syn53640725,0.5031,
A_BU_normadj_18,syn://syn53640760,0.5031,
A_BU_atypia_01,syn://syn53640509,0.5031,
A_BU_atypia_02,syn://syn53640517,0.5031,
A_BU_atypia_03,syn://syn53640531,0.5031,
A_BU_atypia_04,syn://syn53640538,0.5031,
A_BU_atypia_05,syn://syn53640539,0.5031,
A_BU_atypia_06,syn://syn53640546,0.5031,
A_BU_atypia_07,syn://syn53640559,0.5031,
A_BU_atypia_08,syn://syn53640590,0.5031,
A_BU_atypia_09,syn://syn53640595,0.5031,
A_BU_atypia_10,syn://syn53640602,0.5031,
A_BU_atypia_11,syn://syn53640620,0.5031,
A_BU_atypia_12,syn://syn53640693,0.5031,
A_BU_atypia_13,syn://syn53640698,0.5031,
A_BU_atypia_14,syn://syn53640709,0.5031,
A_BU_atypia_15,syn://syn53640716,0.5031,
A_BU_atypia_16,syn://syn53640721,0.5031,
A_BU_atypia_17,syn://syn53640767,0.5031,
A_BU_atypia_18,syn://syn53640780,0.4935,
A_BU_premal_01,syn://syn52919500,0.5,
A_BU_premal_02,syn://syn53640510,0.5031,
A_BU_premal_03,syn://syn53640520,0.5031,
A_BU_premal_04,syn://syn53640523,0.5031,
A_BU_premal_05,syn://syn53640529,0.5031,
A_BU_premal_06,syn://syn53640537,0.5031,
A_BU_premal_07,syn://syn53640541,0.5031,
A_BU_premal_08,syn://syn53640549,0.5031,
A_BU_premal_09,syn://syn53640562,0.5031,
A_BU_premal_10,syn://syn53640563,0.5031,
A_BU_premal_11,syn://syn53640574,0.5031,
A_BU_premal_12,syn://syn53640578,0.5031,
A_BU_premal_13,syn://syn53640592,0.5031,
A_BU_premal_14,syn://syn53640600,0.5031,
A_BU_premal_15,syn://syn53640608,0.5031,
A_BU_premal_16,syn://syn53640616,0.5031,
A_BU_premal_17,syn://syn53640626,0.5031,
A_BU_premal_18,syn://syn53640628,0.5031,
A_BU_insitu_01,syn://syn53640762,0.5,
A_BU_insitu_02,syn://syn53640790,0.4935,
A_BU_insitu_03,syn://syn53640803,0.5031,
A_BU_insitu_04,syn://syn53640923,0.5,
A_BU_insitu_05,syn://syn58924217,0.5031,
A_BU_insitu_06,syn://syn58924240,0.5031,
A_BU_insitu_07,syn://syn58924251,0.5031,
A_BU_insitu_08,syn://syn58924284,0.5031,
A_BU_insitu_09,syn://syn58924298,0.5031,
A_BU_insitu_10,syn://syn58924351,0.5031,
A_BU_insitu_11,syn://syn58924369,0.5031,
A_BU_insitu_12,syn://syn58924438,0.5031,
A_BU_insitu_13,syn://syn58924444,0.5031,
A_BU_insitu_14,syn://syn58924454,0.5031,
A_BU_insitu_15,syn://syn58924466,0.5031,
A_BU_insitu_16,syn://syn58924472,0.5031,
A_BU_insitu_17,syn://syn58924479,0.5031,
A_BU_insitu_18,syn://syn58924498,0.5031,
A_BU_primary_01,syn://syn53640518,0.5031,
A_BU_primary_02,syn://syn53640763,0.4935,
A_BU_primary_03,syn://syn53640775,0.5031,
A_BU_primary_04,syn://syn53640784,0.5031,
A_BU_primary_05,syn://syn53640794,0.5031,
A_BU_primary_06,syn://syn53640806,0.5031,
A_BU_primary_07,syn://syn58924212,0.5031,
A_BU_primary_08,syn://syn58924243,0.5031,
A_BU_primary_09,syn://syn58924244,0.5031,
A_BU_primary_10,syn://syn58924250,0.5031,
A_BU_primary_11,syn://syn58924252,0.5031,
A_BU_primary_12,syn://syn58924268,0.5031,
A_BU_primary_13,syn://syn58924279,0.5031,
