sample,slide,mpp,reader
AP_BU_premal_04,syn://syn53640880,0.5,
A_BU_atypia_16,syn://syn53640721,0.5031,
A_BU_atypia_17,syn://syn53640767,0.5031,
A_BU_insitu_01,syn://syn53640762,0.5,
A_BU_insitu_03,syn://syn53640803,0.5031,
A_BU_insitu_16,syn://syn58924472,0.5031,
A_BU_normadj_06,syn://syn53640558,0.5031,
A_BU_normadj_14,syn://syn53640618,0.5031,
A_BU_normal_05,syn://syn53640879,0.5,
A_BU_normal_17,syn://syn53641062,0.5,
A_BU_primary_02,syn://syn53640763,0.4935,
A_BU_primary_06,syn://syn53640806,0.5031,
A_BU_primary_18,syn://syn58924363,0.5031,
B_Vanderbilt_primary_01,syn://syn68383000,0.2525,
C_Duke_primary_21,syn://syn27056848,0.161,image
C_HMS_primary_01,syn://syn68627335,,
C_HMS_primary_03,syn://syn68627338,,
C_HMS_primary_04,syn://syn68627339,,
C_HMS_primary_05,syn://syn68627341,,
C_HMS_primary_06,syn://syn68627342,,
C_HMS_primary_07,syn://syn68627343,,
C_HMS_primary_08,syn://syn68627344,,
C_HMS_primary_09,syn://syn68627346,,
C_HMS_primary_10,syn://syn68627347,,
C_HMS_primary_11,syn://syn68627348,,
